WDS,plx_origin,plx,plx_err,kepler_min,kepler,kepler_max,gmass_min,gmass,gmass_max,gmass1_min,gmass1,gmass1_max,gmass2_min,gmass2,gmass2_max,plx_origin0,plx0,plx_err0,kepler0,rho,PA
05460+2119,H07,6.34,1.23,0.426,3.788,24.361,2.878,3.267,3.801,1.506,1.715,2.01,1.372,1.553,1.791,H07,6.34,1.23,3.38,0.66,54
05479+0758,H07,8.16,1.81,1.533,3.05,6.866,2.557,2.912,3.397,1.395,1.593,1.875,1.161,1.319,1.522,H07,8.16,1.81,2.996,0.72,352
05580-5212,DR3,15.05,0.018,0.617,1.85,6.066,1.729,1.833,1.939,0.867,0.92,0.974,0.861,0.912,0.965,DR3,15.05,0.018,1.814,0.98,349
06003-3102,H97,66.82,24.41,0.155,1.605,15.543,1.134,1.309,1.529,0.555,0.64,0.748,0.58,0.669,0.781,H97,66.82,24.41,1.354,2.9,2
06047-4505,DR3,36.96,0.052,0.193,2.784,18.159,1.815,1.952,2.107,1.103,1.198,1.301,0.712,0.754,0.806,DR3,36.96,0.052,2.034,5.99,215
06082+3759,H07,5.42,0.9,1.593,3.756,9.394,3.314,3.912,4.656,2.113,2.575,3.15,1.201,1.337,1.507,H07,5.42,0.9,3.601,1.83,332
06262+1845,DR3,68.267,0.086,0.182,1.285,11.03,1.225,1.319,1.411,0.814,0.864,0.916,0.411,0.455,0.495,DR3,68.267,0.086,1.804,2.05,323
06274-2544,DR3,22.421,0.185,1.888,1.951,2.016,1.635,1.734,1.838,0.829,0.875,0.929,0.807,0.859,0.909,DR3,22.421,0.185,1.951,0.61,17
06336-1207,DR3,16.785,0.07,1.663,1.985,2.39,1.818,1.926,2.055,0.955,1.012,1.088,0.863,0.914,0.967,DR3,16.785,0.07,1.984,0.88,309
06345-1114,H97,10.46,2.0,1.28,2.594,5.824,2.397,2.69,3.066,1.209,1.355,1.546,1.188,1.335,1.521,H97,10.46,2.0,2.479,0.64,5
06487+0737,DR3,17.371,0.02,1.422,1.847,2.413,1.832,1.944,2.089,0.997,1.061,1.153,0.836,0.883,0.936,DR3,17.371,0.02,1.845,1.35,67
